dataset,threshold,count,precision,recall,f1
medium_products20cc80rnd050un_LogisticRegression_1,0.9550000000000001,183,0.6174863387978142,1.0,0.7635135135135135
large_products50cc50rnd100un_LogisticRegression_3,0.995,63,0.4603174603174603,1.0,0.6304347826086957
medium_products80cc20rnd000un_XGBoost_2,0.925,1,1.0,1.0,1.0
large_products20cc80rnd000un_RandomForest_1,0.54,4,0.75,1.0,0.8571428571428571
large_products20cc80rnd000un_LogisticRegression_2,0.995,142,0.8028169014084507,1.0,0.890625
medium_products20cc80rnd000un_LogisticRegression_2,0.995,70,0.7714285714285715,1.0,0.8709677419354839
medium_products50cc50rnd100un_LogisticRegression_3,0.995,36,0.5555555555555556,1.0,0.7142857142857143
small_products20cc80rnd000un_DecisionTree_3,0.88,82,0.23170731707317074,1.0,0.37623762376237624
medium_products80cc20rnd050un_LinearSVC_3,0.635,205,0.5073170731707317,1.0,0.6731391585760518
large_products80cc20rnd100un_NaiveBayes_3,0.37,551,0.2014519056261343,1.0,0.33534743202416917
medium_products20cc80rnd100un_DecisionTree_2,0.965,2,0.5,1.0,0.6666666666666666
large_products20cc80rnd000un_RandomForest_3,0.555,1,1.0,1.0,1.0
large_products50cc50rnd000un_RandomForest_1,0.53,4,1.0,1.0,1.0
large_products80cc20rnd050un_XGBoost_3,0.86,1,1.0,1.0,1.0
small_products80cc20rnd000un_RandomForest_1,0.535,7,0.42857142857142855,1.0,0.6
small_products80cc20rnd000un_XGBoost_2,0.925,3,1.0,1.0,1.0
small_products80cc20rnd000un_LinearSVC_3,0.96,1,1.0,1.0,1.0
large_products50cc50rnd000un_NaiveBayes_2,1.0,18,0.6666666666666666,1.0,0.8
small_products50cc50rnd050un_XGBoost_3,0.785,72,0.3333333333333333,1.0,0.5
small_products20cc80rnd100un_RandomForest_3,0.62,2,0.5,1.0,0.6666666666666666
large_products20cc80rnd100un_RandomForest_1,0.505,182,0.2692307692307692,1.0,0.42424242424242425
small_products20cc80rnd000un_NaiveBayes_2,0.06,143,0.3986013986013986,1.0,0.57
small_products20cc80rnd050un_LogisticRegression_2,0.86,246,0.47560975609756095,1.0,0.6446280991735537
small_products20cc80rnd100un_DecisionTree_2,0.88,35,0.2571428571428571,1.0,0.4090909090909091
small_products80cc20rnd050un_LogisticRegression_1,0.98,55,0.45454545454545453,1.0,0.625
medium_products80cc20rnd050un_LogisticRegression_1,0.9500000000000001,158,0.5063291139240507,1.0,0.6722689075630253
large_products20cc80rnd100un_LogisticRegression_2,0.995,55,0.6545454545454545,1.0,0.7912087912087912
medium_products80cc20rnd100un_XGBoost_1,0.845,50,0.38,1.0,0.5507246376811594
small_products20cc80rnd000un_RandomForest_3,0.64,2,1.0,1.0,1.0
small_products80cc20rnd100un_DecisionTree_1,0.905,75,0.2,1.0,0.3333333333333333
