model,language,cc,size,un,seed,precision,recall,f1,n_pairs,n_unmatched
hiergat,de,20cc80rnd,medium,100un,0,43.22250639386189,93.88888888888889,59.19439579684763,4449,10
hiergat,de,20cc80rnd,medium,100un,1,38.02660753880266,95.27777777777777,54.35816164817749,4449,10
hiergat,de,20cc80rnd,medium,100un,2,39.44954128440367,95.55555555555556,55.84415584415584,4449,10
hiergat,de,20cc80rnd,small,000un,0,52.106084243369736,82.06388206388206,63.74045801526718,4454,24
hiergat,de,20cc80rnd,small,000un,1,56.64,86.97788697788698,68.6046511627907,4454,24
hiergat,de,20cc80rnd,small,000un,2,52.587646076794655,77.39557739557739,62.62425447316103,4454,24
hiergat,de,20cc80rnd,small,050un,0,39.85419198055893,93.18181818181817,55.82978723404255,4429,26
hiergat,de,20cc80rnd,small,050un,1,42.76315789473684,92.32954545454545,58.45323741007194,4429,26
hiergat,de,20cc80rnd,small,050un,2,42.714285714285715,84.94318181818183,56.84410646387833,4429,26
hiergat,de,20cc80rnd,small,100un,0,32.87937743190661,93.88888888888889,48.70317002881844,4449,10
hiergat,de,20cc80rnd,small,100un,1,36.248682824025295,95.55555555555556,52.559205500381964,4449,10
hiergat,de,20cc80rnd,small,100un,2,35.31428571428572,85.83333333333333,50.040485829959515,4449,10
hiergat,de,50cc50rnd,large,000un,0,63.61867704280155,89.83516483516483,74.4874715261959,4427,43
hiergat,de,50cc50rnd,large,000un,1,65.51020408163265,88.18681318681318,75.17564402810304,4427,43
hiergat,de,50cc50rnd,large,050un,0,48.18181818181818,91.90751445086705,63.22067594433399,4418,48
hiergat,de,50cc50rnd,large,050un,1,47.57709251101321,93.64161849710982,63.09639727361246,4418,48
hiergat,de,50cc50rnd,large,100un,0,41.007194244604314,92.6829268292683,56.85785536159601,4458,21
hiergat,de,50cc50rnd,large,100un,1,37.51375137513752,92.41192411924119,53.36463223787168,4458,21
hiergat,de,50cc50rnd,medium,000un,0,59.61538461538461,85.16483516483517,70.13574660633483,4427,43
hiergat,de,50cc50rnd,medium,000un,1,54.70383275261324,86.26373626373626,66.95095948827291,4427,43
hiergat,de,50cc50rnd,medium,000un,2,49.04347826086956,77.47252747252747,60.063897763578275,4427,43
hiergat,de,50cc50rnd,medium,050un,0,49.047619047619044,89.30635838150289,63.31967213114754,4418,48
hiergat,de,50cc50rnd,medium,050un,1,42.17032967032967,88.72832369942196,57.16945996275605,4418,48
