variant,cc,size,un,pub_de,resc_de,d_de,pub_delta,resc_delta,d_delta,resc_en,pub_en,val_de,val_en,nse_de,nse_en
50cc medium Seen,50cc50rnd,medium,000un,70.08,65.71686795272868,-4.363132047271321,0.69,7.264310387588324,6.574310387588325,72.981178340317,70.77,70.08030427611108,70.77208771173206,3.0,3.0
50cc medium Half,50cc50rnd,medium,050un,64.68,58.64733238619954,-6.03266761380047,-0.94,6.82424819525238,7.76424819525238,65.47158058145192,63.74000000000001,64.67801559082655,63.73556325125745,3.0,3.0
50cc medium Unseen,50cc50rnd,medium,100un,55.96,49.58573283270412,-6.3742671672958835,1.85,7.8940964604447785,6.044096460444779,57.479829293148896,57.81,55.96054267309322,57.81036960812183,3.0,3.0
50cc large Seen,50cc50rnd,large,000un,79.9,74.83155777714947,-5.0684422228505355,-4.92,2.9004814549505795,7.8204814549505794,77.73203923210005,74.98,79.89881976193234,74.98253174250334,2.0,3.0
50cc large Half,50cc50rnd,large,050un,71.09,63.15853660897322,-7.9314633910267816,-5.46,4.335960851589647,9.795960851589648,67.49449746056287,65.63000000000001,71.09357599669096,65.62886785261307,2.0,3.0
50cc large Unseen,50cc50rnd,large,100un,62.16,55.11124379973384,-7.048756200266155,-2.55,4.05754838934498,6.60754838934498,59.16879218907882,59.61,62.16416094713792,59.6076365821803,2.0,3.0
80cc small Seen,80cc20rnd,small,000un,30.1,24.32237411430016,-5.777625885699841,12.56,18.925881560174,6.365881560173998,43.24825567447416,42.660000000000004,30.097143042093204,42.65880544470799,3.0,3.0
80cc small Half,80cc20rnd,small,050un,31.79,26.9087733488894,-4.881226651110598,9.42,14.306995968305241,4.886995968305241,41.21576931719464,41.21,31.79173314443943,41.211614620542285,3.0,3.0
80cc small Unseen,80cc20rnd,small,100un,30.33,26.807947010437697,-3.522052989562301,7.62,10.85717721838844,3.2371772183884397,37.66512422882614,37.949999999999996,30.32604642017524,37.945864845829576,3.0,3.0
80cc medium Seen,80cc20rnd,medium,000un,65.1,59.081404749181296,-6.018595250818699,-1.94,5.61046528515822,7.55046528515822,64.69187003433952,63.16,65.10046845516983,63.157059690255885,3.0,3.0
80cc medium Half,80cc20rnd,medium,050un,60.66,54.58528271595421,-6.074717284045789,-2.72,4.0822694068464855,6.802269406846486,58.66755212280069,57.94,60.65844093274399,57.93649497824976,3.0,3.0
80cc medium Unseen,80cc20rnd,medium,100un,52.61,47.55337399352755,-5.056626006472449,-1.04,3.9752054396068033,5.015205439606803,51.528579433134354,51.57,52.61377744449462,51.574536538878185,3.0,3.0
80cc large Seen,80cc20rnd,large,000un,73.39,64.62670370964814,-8.76329629035186,-5.3,5.132917190242466,10.432917190242467,69.7596208998906,68.09,73.39143007013043,68.09413373351737,3.0,3.0
80cc large Half,80cc20rnd,large,050un,65.4,57.07427781123672,-8.325722188763287,-2.54,7.0571111316576705,9.59711113165767,64.13138894289439,62.86000000000001,65.39855046816821,62.855398347377296,3.0,3.0
80cc large Unseen,80cc20rnd,large,100un,54.01,46.27307081563515,-7.736929184364847,-0.52,7.325046674504186,7.845046674504186,53.59811749013934,53.489999999999995,54.01487549170096,53.49066081985337,3.0,3.0
