model,classifier,seed,variant,precision,recall,f1,backbone,validation_file,validation_rows,validation_sha256,source_file
hiergat,,2,de_de,0.4534711964549483,0.850415512465374,0.5915221579961464,roberta-base,data/processed/hiergat/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,results/generated/cross_language/hiergat/final_large_80cc20rnd000un_lr=5e-06_id=2_batch=16_lm=roberta_adjusted.txt
hiergat,,2,de_en,0.34251497005988024,0.7922437673130194,0.4782608695652174,roberta-base,data/processed/hiergat/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,results/generated/cross_language/hiergat/final_large_80cc20rnd000un_lr=5e-06_id=2_batch=16_lm=roberta_adjusted.txt
hiergat,,2,en_de,0.36030341340075855,0.7894736842105263,0.4947916666666667,roberta-base,data/processed/hiergat/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,results/generated/cross_language/hiergat/final_large_80cc20rnd000un_lr=5e-06_id=2_batch=16_lm=roberta_adjusted.txt
hiergat,,2,en_en,0.42857142857142855,0.8476454293628809,0.5693023255813954,roberta-base,data/processed/hiergat/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,results/generated/cross_language/hiergat/final_large_80cc20rnd000un_lr=5e-06_id=2_batch=16_lm=roberta_adjusted.txt
hiergat,,2,random,0.3963011889035667,0.8310249307479224,0.5366726296958855,roberta-base,data/processed/hiergat/data/final_output/preprocessed_products80cc20rnd000un_valid_large.txt,4452,5e264fff84f07491670883c1e38ab47ad1d97d5e17818b9271142288debfcb11,results/generated/cross_language/hiergat/final_large_80cc20rnd000un_lr=5e-06_id=2_batch=16_lm=roberta_adjusted.txt
magellan,NaiveBayes,0,de_de,0.1708413615928067,0.7368421052631579,0.2773722627737226,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,results/generated/cross_language/magellan/de_train_000un_valid_000un_test_050un/preprocessed_products80cc20rnd000un_train_large_cross_magellan_pairs_formatted_preprocessed_products80cc20rnd050un_gs_de_de_magellan_pairs_formatted.csv
magellan,XGBoost,0,de_de,0.2248062015503876,0.8836565096952909,0.35842696629213483,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,results/generated/cross_language/magellan/de_train_000un_valid_000un_test_050un/preprocessed_products80cc20rnd000un_train_large_cross_magellan_pairs_formatted_preprocessed_products80cc20rnd050un_gs_de_de_magellan_pairs_formatted.csv
magellan,RandomForest,0,de_de,0.20989220038046924,0.9168975069252078,0.3415892672858617,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,results/generated/cross_language/magellan/de_train_000un_valid_000un_test_050un/preprocessed_products80cc20rnd000un_train_large_cross_magellan_pairs_formatted_preprocessed_products80cc20rnd050un_gs_de_de_magellan_pairs_formatted.csv
magellan,DecisionTree,0,de_de,0.19235511713933415,0.8642659279778393,0.3146747352496218,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,results/generated/cross_language/magellan/de_train_000un_valid_000un_test_050un/preprocessed_products80cc20rnd000un_train_large_cross_magellan_pairs_formatted_preprocessed_products80cc20rnd050un_gs_de_de_magellan_pairs_formatted.csv
magellan,LinearSVC,0,de_de,0.2133142448103078,0.8254847645429363,0.3390216154721274,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,results/generated/cross_language/magellan/de_train_000un_valid_000un_test_050un/preprocessed_products80cc20rnd000un_train_large_cross_magellan_pairs_formatted_preprocessed_products80cc20rnd050un_gs_de_de_magellan_pairs_formatted.csv
magellan,LogisticRegression,0,de_de,0.2182628062360802,0.814404432132964,0.3442622950819672,n/a (Magellan similarity features),data/processed/validation-sets/preprocessed_products80cc20rnd000un_valid_large.pkl.gz,4452,2b6a643e50b2d7cfb2d70ccba90c80dc38a136e2a460147daf303d7aa2ddd376,results/generated/cross_language/magellan/de_train_000un_valid_000un_test_050un/preprocessed_products80cc20rnd000un_train_large_cross_magellan_pairs_formatted_preprocessed_products80cc20rnd050un_gs_de_de_magellan_pairs_formatted.csv
