category_pair,f1,total_count,cc,un,size,run_id
Auto & Motorrad | Lebensmittel & Getränke,0.0,1,80cc20rnd,000un,small,1
Bürobedarf | Sport & Freizeit,0.0,1,80cc20rnd,000un,small,1
Möbel & Wohnen | Möbel & Wohnen,0.3443223443223443,634,80cc20rnd,000un,small,2
Kleidung & Accessoires | Kleidung & Accessoires,0.3269961977186312,562,80cc20rnd,000un,small,2
Elektronik & Computer | Elektronik & Computer,0.6017699115044248,333,80cc20rnd,000un,small,2
Elektronik & Computer | Möbel & Wohnen,0.417910447761194,305,80cc20rnd,000un,small,2
Kleidung & Accessoires | Möbel & Wohnen,0.25,227,80cc20rnd,000un,small,2
Werkzeug & Baumarkt | Werkzeug & Baumarkt,0.5048543689320388,224,80cc20rnd,000un,small,2
Elektronik & Computer | Kleidung & Accessoires,0.3076923076923077,189,80cc20rnd,000un,small,2
Möbel & Wohnen | Werkzeug & Baumarkt,0.46153846153846156,165,80cc20rnd,000un,small,2
Kleidung & Accessoires | Sport & Freizeit,0.10526315789473684,144,80cc20rnd,000un,small,2
Spielzeug & Baby | Spielzeug & Baby,0.45161290322580644,139,80cc20rnd,000un,small,2
Kleidung & Accessoires | Werkzeug & Baumarkt,0.0,116,80cc20rnd,000un,small,2
Sport & Freizeit | Sport & Freizeit,0.3076923076923077,94,80cc20rnd,000un,small,2
Auto & Motorrad | Auto & Motorrad,0.41379310344827586,88,80cc20rnd,000un,small,2
Elektronik & Computer | Werkzeug & Baumarkt,0.0,87,80cc20rnd,000un,small,2
Auto & Motorrad | Sport & Freizeit,0.06896551724137931,79,80cc20rnd,000un,small,2
Möbel & Wohnen | Sport & Freizeit,0.0,70,80cc20rnd,000un,small,2
Elektronik & Computer | Spielzeug & Baby,0.6666666666666666,61,80cc20rnd,000un,small,2
Auto & Motorrad | Kleidung & Accessoires,0.0,59,80cc20rnd,000un,small,2
Möbel & Wohnen | Spielzeug & Baby,0.0,59,80cc20rnd,000un,small,2
Kleidung & Accessoires | Spielzeug & Baby,0.0,55,80cc20rnd,000un,small,2
Auto & Motorrad | Möbel & Wohnen,0.0,51,80cc20rnd,000un,small,2
Elektronik & Computer | Sport & Freizeit,0.0,50,80cc20rnd,000un,small,2
Kosmetik & Drogerie | Kosmetik & Drogerie,0.35714285714285715,48,80cc20rnd,000un,small,2
Kosmetik & Drogerie | Möbel & Wohnen,0.0,40,80cc20rnd,000un,small,2
Auto & Motorrad | Elektronik & Computer,0.6666666666666666,39,80cc20rnd,000un,small,2
Gesundheit & Pflege | Kosmetik & Drogerie,0.4444444444444444,35,80cc20rnd,000un,small,2
"Bücher, Filme & Musik | Spielzeug & Baby",0.3333333333333333,34,80cc20rnd,000un,small,2
Gesundheit & Pflege | Möbel & Wohnen,0.5,33,80cc20rnd,000un,small,2
Elektronik & Computer | Kosmetik & Drogerie,0.0,32,80cc20rnd,000un,small,2
Spielzeug & Baby | Werkzeug & Baumarkt,0.0,31,80cc20rnd,000un,small,2
Auto & Motorrad | Werkzeug & Baumarkt,0.5,27,80cc20rnd,000un,small,2
Sport & Freizeit | Werkzeug & Baumarkt,0.0,25,80cc20rnd,000un,small,2
Auto & Motorrad | Spielzeug & Baby,0.2,25,80cc20rnd,000un,small,2
Gesundheit & Pflege | Kleidung & Accessoires,0.0,21,80cc20rnd,000un,small,2
Gesundheit & Pflege | Gesundheit & Pflege,0.7142857142857143,21,80cc20rnd,000un,small,2
Kleidung & Accessoires | Kosmetik & Drogerie,1.0,21,80cc20rnd,000un,small,2
Elektronik & Computer | Lebensmittel & Getränke,0.5454545454545454,20,80cc20rnd,000un,small,2
Spielzeug & Baby | Sport & Freizeit,0.0,20,80cc20rnd,000un,small,2
Kosmetik & Drogerie | Werkzeug & Baumarkt,0.0,18,80cc20rnd,000un,small,2
Lebensmittel & Getränke | Möbel & Wohnen,0.0,18,80cc20rnd,000un,small,2
Elektronik & Computer | Gesundheit & Pflege,0.0,18,80cc20rnd,000un,small,2
Gesundheit & Pflege | Werkzeug & Baumarkt,0.0,16,80cc20rnd,000un,small,2
Bürobedarf | Möbel & Wohnen,0.6666666666666666,14,80cc20rnd,000un,small,2
"Bücher, Filme & Musik | Kleidung & Accessoires",0.0,12,80cc20rnd,000un,small,2
"Bücher, Filme & Musik | Bücher, Filme & Musik",0.0,9,80cc20rnd,000un,small,2
Gesundheit & Pflege | Spielzeug & Baby,0.0,7,80cc20rnd,000un,small,2
Auto & Motorrad | Kosmetik & Drogerie,0.0,7,80cc20rnd,000un,small,2
Gesundheit & Pflege | Lebensmittel & Getränke,0.0,6,80cc20rnd,000un,small,2
Kosmetik & Drogerie | Sport & Freizeit,0.0,6,80cc20rnd,000un,small,2
