model,language,size,test,seed,precision,recall,f1,n_pairs,n_dropped_predictions
roberta_bs32_full,en,medium,Seen,0,57.5984990619137,89.76608187134502,70.17142857142858,4440,0
roberta_bs32_full,en,medium,Half-Seen,0,45.20166898470097,90.02770083102493,60.185185185185176,4437,0
roberta_bs32_full,en,medium,Unseen,0,32.113821138211385,90.80459770114942,47.44744744744745,4447,0
roberta_bs32_full,en,medium,Seen,1,54.59363957597173,90.35087719298247,68.06167400881058,4440,0
roberta_bs32_full,en,medium,Half-Seen,1,43.58638743455497,92.24376731301939,59.199999999999996,4437,0
roberta_bs32_full,en,medium,Unseen,1,33.23076923076923,93.10344827586206,48.97959183673469,4447,0
roberta_bs32_full,en,medium,Seen,2,62.38938053097345,82.45614035087719,71.03274559193953,4440,0
roberta_bs32_full,en,medium,Half-Seen,2,52.658662092624354,85.0415512465374,65.04237288135593,4437,0
roberta_bs32_full,en,medium,Unseen,2,37.51633986928105,82.47126436781609,51.57232704402516,4447,0
roberta_bs32_full,en,large,Seen,0,63.519313304721024,86.54970760233918,73.26732673267325,4440,0
roberta_bs32_full,en,large,Half-Seen,0,52.92153589315526,87.81163434903047,66.04166666666667,4437,0
roberta_bs32_full,en,large,Unseen,0,39.19270833333333,86.49425287356321,53.942652329749095,4447,0
roberta_bs32_full,en,large,Seen,1,66.21315192743764,85.38011695906432,74.58492975734355,4440,0
roberta_bs32_full,en,large,Half-Seen,1,51.257861635220124,90.30470914127424,65.39618856569709,4437,0
roberta_bs32_full,en,large,Unseen,1,37.01456310679612,87.64367816091954,52.04778156996587,4447,0
roberta_bs32_full,en,large,Seen,2,64.17582417582418,85.38011695906432,73.27478042659975,4440,0
roberta_bs32_full,en,large,Half-Seen,2,51.97934595524957,83.65650969529086,64.11889596602973,4437,0
roberta_bs32_full,en,large,Unseen,2,36.78887484197219,83.62068965517241,51.09745390693591,4447,0
